code,description,classification
5C51.Z,Inborn errors of carbohydrate metabolism unspecified,not a valid entry
5C52.00,Disorders of carnitine transport or the carnitine cycle,rare disease
5C52.01,Disorders of mitochondrial fatty acid oxidation,rare disease
5C52.02,Disorders of ketone body metabolism,rare disease
5C52.03,Sjögren-Larsson syndrome,rare disease
5C52.0Y,Other specified inborn errors of fatty acid oxidation or ketone body metabolism,not a valid entry
5C52.0Z,Inborn errors of fatty acid oxidation or ketone body metabolism unspecified,not a valid entry
5C52.10,Disorders of cholesterol synthesis,not a valid entry
5C52.11,Bile acid synthesis defect with cholestasis,rare disease
5C52.1Y,Other specified inborn errors of sterol metabolism,not a valid entry
5C52.1Z,Inborn errors of sterol metabolism unspecified,not a valid entry
5C52.2,Neutral lipid storage disease,rare disease
5C52.Y,Other specified inborn errors of lipid metabolism,not a valid entry
5C52.Z,Inborn errors of lipid metabolism unspecified,not a valid entry
5C53.00,Pyruvate kinase deficiency,rare disease
5C53.01,Lactate dehydrogenase deficiency,rare disease
5C53.02,Pyruvate dehydrogenase complex deficiency,rare disease
5C53.03,Pyruvate carboxylase deficiency,rare disease
5C53.0Y,Other specified disorders of pyruvate metabolism,not a valid entry
5C53.0Z,Disorders of pyruvate metabolism unspecified,not a valid entry
5C53.1,Disorders of the citric acid cycle,rare disease
5C53.20,Mitochondrial DNA depletion syndromes,rare disease
5C53.21,Multiple mitochondrial DNA deletion syndromes,rare disease
5C53.22,Coenzyme Q10 deficiency,rare disease
5C53.23,Mitochondrial protein translation defects,rare disease
5C53.24,Leigh syndrome,rare disease
5C53.25,Isolated ATP synthase deficiency,rare disease
5C53.2Y,Other specified disorders of mitochondrial oxidative phosphorylation,not a valid entry
5C53.2Z,Disorders of mitochondrial oxidative phosphorylation unspecified,not a valid entry
5C53.30,Mitochondrial substrate carrier disorders,rare disease
5C53.31,Mitochondrial protein import disorders,rare disease
5C53.3Y,Other specified disorders of mitochondrial membrane transport,not a valid entry
5C53.3Z,Disorders of mitochondrial membrane transport unspecified,not a valid entry
5C53.4,Disorders of creatine metabolism,rare disease
5C53.Y,Other specified inborn errors of energy metabolism,not a valid entry
5C53.Z,Inborn errors of energy metabolism unspecified,not a valid entry
5C54.0,Disorders of protein N-glycosylation,rare disease
5C54.1,Disorders of protein O-glycosylation,rare disease
5C54.2,Disorders of multiple glycosylation or other pathways,not a valid entry
5C54.Y,Other specified congenital disorders of glycosylation and protein modification,not a valid entry
5C54.Z,Congenital disorders of glycosylation and protein modification unspecified,not a valid entry
5C55.00,Xanthinuria,rare disease
5C55.01,Lesch-Nyhan syndrome,rare disease
5C55.0Y,Other specified disorders of purine metabolism,not a valid entry
5C55.0Z,Disorders of purine metabolism unspecified,not a valid entry
5C55.1,Disorders of pyrimidine metabolism,rare disease
5C55.2,Disorders of nucleotide metabolism,rare disease
5C55.Y,Other specified inborn errors of purine pyrimidine or nucleotide metabolism,not a valid entry
5C55.Z,Inborn errors of purine pyrimidine or nucleotide metabolism unspecified,not a valid entry
5C56.00,Gangliosidosis,rare disease
5C56.01,Fabry disease,rare disease
5C56.02,Metachromatic leukodystrophy,rare disease
5C56.0Y,Other specified sphingolipidosis,not a valid entry
5C56.0Z,Sphingolipidosis unspecified,not a valid entry
5C56.1,Neuronal ceroid lipofuscinosis,rare disease
5C56.20,Mucolipidosis,rare disease
5C56.21,Oligosaccharidosis,rare disease
5C56.2Y,Other specified glycoproteinosis,not a valid entry
5C56.2Z,Glycoproteinosis unspecified,not a valid entry
5C56.30,Mucopolysaccharidosis type 1,rare disease
5C56.31,Mucopolysaccharidosis type 2,rare disease
5C56.32,Mucopolysaccharidosis type 4,rare disease
5C56.33,Mucopolysaccharidosis type 6,rare disease
5C56.3Y,Other specified mucopolysaccharidosis,not a valid entry
5C56.3Z,Mucopolysaccharidosis unspecified,not a valid entry
5C56.4,Disorders of sialic acid metabolism,rare disease
5C56.Y,Other specified lysosomal diseases,not a valid entry
5C56.Z,Lysosomal diseases unspecified,not a valid entry
5C57.0,Disorders of peroxisome biogenesis,rare disease
5C57.1,Disorders of peroxisomal alpha- beta- or omega-oxidation,rare disease
5C57.Y,Other specified peroxisomal diseases,not a valid entry
5C57.Z,Peroxisomal diseases unspecified,not a valid entry
5C58.00,Crigler-Najjar syndrome,rare disease
5C58.01,Gilbert syndrome,rare disease
5C58.02,Dubin-Johnson syndrome,rare disease
5C58.03,Progressive familial intrahepatic cholestasis,rare disease
5C58.04,Benign recurrent intrahepatic cholestasis,rare disease
5C58.0Y,Other specified disorders of bilirubin metabolism or excretion,not a valid entry
5C58.0Z,Disorders of bilirubin metabolism or excretion unspecified,not a valid entry
5C58.10,Porphyria cutanea tarda,rare disease
5C58.11,Liver diseases due to porphyria,rare disease
5C58.12,Erythropoietic porphyrias,rare disease
5C58.13,Variegate porphyria,rare disease
5C58.1Y,Other specified porphyrias,not a valid entry
5C58.1Z,Porphyrias unspecified,not a valid entry
5C58.Y,Other specified inborn errors of porphyrin or heme metabolism,not a valid entry
5C58.Z,Inborn errors of porphyrin or heme metabolism unspecified,not a valid entry
5C59.00,Disorders of catecholamine synthesis,rare disease
5C59.01,Disorders of pterin metabolism,rare disease
5C59.0Y,Other specified disorders of biogenic amine metabolism,not a valid entry
5C59.0Z,Disorders of biogenic amine metabolism unspecified,not a valid entry
5C59.1,Disorders of gamma aminobutyric acid metabolism,rare disease
5C59.2,Disorders of pyridoxine metabolism,rare disease
5C59.Y,Other specified inborn errors of neurotransmitter metabolism,not a valid entry
5C59.Z,Inborn errors of neurotransmitter metabolism unspecified,not a valid entry
5C5A,Alpha-1-antitrypsin deficiency,rare disease
5C5Y,Other specified inborn errors of metabolism,not a valid entry
5C5Z,Inborn errors of metabolism unspecified,not a valid entry
5C60.0,Oculocerebrorenal syndrome,rare disease
5C60.1,Cystinosis,rare disease
5C60.2,Cystinuria,rare disease
5C60.Y,Other specified disorders of amino acid absorption or transport,not a valid entry
5C60.Z,Disorders of amino acid absorption or transport unspecified,not a valid entry
5C61.0,Glucose-galactose malabsorption,rare disease
5C61.1,Maltase-glucoamylase deficiency,rare disease
5C61.2,Congenital sucrase-isomaltase deficiency,rare disease
5C61.3,Alpha alpha trehalase deficiency,rare disease
5C61.40,Fructose malabsorption,rare disease
5C61.4Y,Other specified acquired monosaccharide malabsorption,not a valid entry
5C61.4Z,Acquired monosaccharide malabsorption unspecified,not a valid entry
5C61.5,Disorders of facilitated glucose transport,rare disease
5C61.60,Primary lactase deficiency,common disease
5C61.61,Congenital lactase deficiency,rare disease
5C61.62,Secondary lactase deficiency,common disease
5C61.6Z,Lactose intolerance unspecified,not a valid entry
5C61.Y,Other specified disorders of carbohydrate absorption or transport,not a valid entry
5C61.Z,Disorders of carbohydrate absorption or transport unspecified,not a valid entry
5C62,Disorders of lipid absorption or transport,rare disease
5C63.0,Disorders of cobalamin metabolism or transport,rare disease
5C63.1,Disorders of folate metabolism or transport,rare disease
5C63.20,Hypocalcaemic vitamin D dependent rickets,rare disease
5C63.21,Hypocalcaemic vitamin D resistant rickets,rare disease
5C63.22,Hypophosphataemic rickets,rare disease
5C63.2Y,Other specified disorders of vitamin D metabolism or transport,not a valid entry
5C63.2Z,Disorders of vitamin D metabolism or transport unspecified,not a valid entry
5C63.Y,Other specified disorders of vitamin or non-protein cofactor absorption or transport,not a valid entry
5C63.Z,Disorders of vitamin or non-protein cofactor absorption or transport unspecified,not a valid entry
5C64.00,Wilson disease,rare disease
5C64.0Y,Other specified disorders of copper metabolism,not a valid entry
5C64.0Z,Disorders of copper metabolism unspecified,not a valid entry
5C64.10,Iron overload diseases,rare disease
5C64.1Y,Other specified disorders of iron metabolism,not a valid entry
5C64.1Z,Disorders of iron metabolism unspecified,not a valid entry
5C64.20,Acrodermatitis enteropathica,rare disease
5C64.21,Zinc deficiency syndromes,rare disease
5C64.2Y,Other specified disorders of zinc metabolism,not a valid entry
5C64.2Z,Disorders of zinc metabolism unspecified,not a valid entry
5C64.3,Disorders of phosphorus metabolism or phosphatases,rare disease
5C64.40,Hypermagnesaemia,rare disease
5C64.41,Hypomagnesaemia,rare disease
5C64.4Z,Disorders of magnesium metabolism unspecified,not a valid entry
5C64.5,Disorders of calcium metabolism,rare disease
5C64.6,Disorders of sodium metabolism,rare disease
5C64.7,Disorders of chloride metabolism,rare disease
5C64.Y,Disorders of other specified mineral absorption and transport,not a valid entry
5C64.Z,Disorders of mineral absorption or transport unspecified,not a valid entry
5C6Y,Other specified disorders of metabolite absorption or transport,not a valid entry
5C6Z,Disorders of metabolite absorption or transport unspecified,not a valid entry
5C70.0,Dehydration,common disease
5C70.1,Hypovolaemia,emergency disease
5C70.Y,Other specified volume depletion,not a valid entry
5C70.Z,Volume depletion unspecified,not a valid entry
5C71,Hyperosmolality or hypernatraemia,emergency disease
5C72,Hypo-osmolality or hyponatraemia,emergency disease
5C73.0,Acute respiratory acidosis,emergency disease
5C73.1,Chronic respiratory acidosis,not a valid entry
5C73.2,Anion gap metabolic acidosis,not a valid entry
5C73.Y,Other specified acidosis,not a valid entry
5C73.Z,Acidosis unspecified,not a valid entry
5C74,Alkalosis,not a valid entry
5C75,Mixed disorder of acid-base balance,not a valid entry
5C76,Hyperkalaemia,not a valid entry
5C77,Hypokalaemia,not a valid entry
5C78,Fluid overload,not a valid entry
5C7Y,Other specified disorders of fluid electrolyte or acid-base balance,not a valid entry
5C7Z,Disorders of fluid electrolyte or acid-base balance unspecified,not a valid entry
5C80.00,Primary hypercholesterolaemia,not a valid entry
5C80.01,Secondary hypercholesterolaemia,not a valid entry
5C80.0Z,Hypercholesterolaemia unspecified,not a valid entry
5C80.1,Hypertriglyceridaemia,not a valid entry
5C80.2,Mixed hyperlipidaemia,not a valid entry
5C80.3,Hyperalphalipoproteinaemia,not a valid entry
5C80.Y,Other specified hyperlipoproteinaemia,not a valid entry
5C80.Z,Hyperlipoproteinaemia unspecified,not a valid entry
5C81.0,Hypoalphalipoproteinaemia,not a valid entry
5C81.1,Hypobetalipoproteinaemia,not a valid entry
5C81.Y,Other specified hypolipoproteinaemia,not a valid entry
5C81.Z,Hypolipoproteinaemia unspecified,not a valid entry
5C8Y,Other specified disorders of lipoprotein metabolism or lipidaemias,not a valid entry
5C8Z,Unspecified disorders of lipoprotein metabolism or lipidaemias,not a valid entry
5C90.0,Liver diseases due to urea cycle defects,rare disease
5C90.1,Liver diseases due to disorders of porphyrin or bilirubin metabolism or transport,rare disease
5C90.2,Liver diseases due to disorders of amino acid metabolism,rare disease
5C90.3,Liver disease due to disorders of lysosomal storage,rare disease
5C90.4,Liver diseases due to mitochondrial disorders,rare disease
5C90.5,Liver diseases due to disorders of mineral metabolism,rare disease
5C90.Y,Other specified metabolic or transporter liver disease,not a valid entry
5C90.Z,Metabolic or transporter liver disease unspecified,not a valid entry
5D00.0,AL amyloidosis,rare disease
5D00.1,AA amyloidosis,rare disease
5D00.20,Hereditary ATTR amyloidosis,rare disease
5D00.21,Non-neuropathic heredofamilial amyloidosis,rare disease
5D00.2Y,Other specified hereditary amyloidosis,not a valid entry
5D00.2Z,Hereditary amyloidosis unspecified,not a valid entry
5D00.3,Dialysis-associated amyloidosis,rare disease
5D00.Y,Other specified amyloidosis,not a valid entry
5D00.Z,Amyloidosis unspecified,not a valid entry
5D01,Tumour lysis syndrome,emergency disease
5D0Y,Other specified metabolic disorders,not a valid entry
5D2Z,Metabolic disorders unspecified,not a valid entry
5D40.00,Hypothyroidism post radioactive iodine ablation,not a valid entry
5D40.0Y,Other specified postirradiation hypothyroidism,not a valid entry
5D40.0Z,Postirradiation hypothyroidism unspecified,not a valid entry
5D40.Y,Other specified postprocedural hypothyroidism,not a valid entry
5D40.Z,Postprocedural hypothyroidism unspecified,not a valid entry
5D41,Postprocedural hypoinsulinaemia,not a valid entry
5D42,Postprocedural hypoparathyroidism,not a valid entry
5D43,Postprocedural hypopituitarism,not a valid entry
5D44,Postprocedural ovarian failure,not a valid entry
5D45,Postprocedural testicular hypofunction,not a valid entry
5D46,Postprocedural adrenocortical hypofunction,not a valid entry
6A00.0,Disorder of intellectual development mild,mental disease
6A00.1,Disorder of intellectual development moderate,mental disease
6A00.2,Disorder of intellectual development severe,mental disease
6A00.3,Disorder of intellectual development profound,mental disease
6A00.4,Disorder of intellectual development provisional,not a valid entry
6A00.Z,Disorders of intellectual development unspecified,not a valid entry
6A01.0,Developmental speech sound disorder,mental disease
6A01.1,Developmental speech fluency disorder,mental disease
6A01.20,Developmental language disorder with impairment of receptive and expressive language,mental disease
6A01.21,Developmental language disorder with impairment of mainly expressive language,mental disease
6A01.22,Developmental language disorder with impairment of mainly pragmatic language,mental disease
6A01.23,Developmental language disorder with other specified language impairment,not a valid entry
6A01.Y,Other specified developmental speech or language disorders,not a valid entry
6A01.Z,Developmental speech or language disorders unspecified,not a valid entry
6A02.0,Autism spectrum disorder without disorder of intellectual development and with mild or no impairment of functional language,mental disease
6A02.1,Autism spectrum disorder with disorder of intellectual development and with mild or no impairment of functional language,mental disease
6A02.2,Autism spectrum disorder without disorder of intellectual development and with impaired functional language,mental disease
6A02.3,Autism spectrum disorder with disorder of intellectual development and with impaired functional language,mental disease
6A02.4,Autism spectrum disorder without disorder of intellectual development and with absence of functional language,mental disease
